City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,bel ombre,-4.6167,55.4167,24.91,83,40,4.12,SC,1690159627
175,bikenibeu village,1.3673,173.1241,30.98,70,40,2.06,KI,1690159627
176,ocean shores,46.9737,-124.1563,22.99,81,0,6.69,US,1690159628
177,college,64.8569,-147.8028,30.6,44,40,1.54,US,1690159628
178,new norfolk,-42.7826,147.0587,13.29,63,100,3.67,AU,1690159628
179,jamestown,42.097,-79.2353,24.77,73,0,2.06,US,1690159628
180,klyuchi,52.2667,79.1667,21.72,46,30,1.95,RU,1690159486
181,yellowknife,62.456,-114.3525,21.29,43,100,4.12,CA,1690159560
182,byron bay,-28.65,153.6167,15.95,65,100,6.8,AU,1690159385
183,hawaiian paradise park,19.5933,-154.9731,27.73,82,100,4.12,US,1690159629
184,la gi,10.6667,107.7833,26.59,86,80,3.5,VN,1690159629
185,kuta,-8.7233,115.1723,26.97,78,40,2.68,ID,1690159629
186,aswan,24.0934,32.907,33.61,15,0,0.0,EG,1690159630
187,greymouth,-42.4667,171.2,13.79,69,84,3.17,NZ,1690159630
188,talnakh,69.4865,88.3972,14.56,75,99,0.19,RU,1690159630
189,de aar,-30.6497,24.0123,5.21,66,31,2.69,ZA,1690159630
190,kalmunai,7.4167,81.8167,25.79,76,100,1.48,LK,1690159630
191,la villa del rosario,10.3258,-72.3134,26.31,79,100,4.66,VE,1690159631
192,mahibadhoo,3.7833,72.9667,28.51,76,100,4.54,MV,1690159631
193,kot diji,27.3427,68.7083,28.01,77,100,3.17,PK,1690159631
194,hermiston,45.8404,-119.2895,37.94,25,0,2.57,US,1690159530
195,dunedin,-45.8742,170.5036,9.33,97,100,1.34,NZ,1690159514
196,voss,60.623,6.4229,14.19,84,93,1.44,NO,1690159631
197,lebu,-37.6167,-73.65,8.59,84,62,2.0,CL,1690159632
198,mukalla,14.5425,49.1242,30.78,63,100,2.35,YE,1690159632
199,yuzhno-kurilsk,44.0306,145.8556,18.3,89,100,2.19,RU,1690159509
200,mega,4.05,38.3,13.48,84,28,5.93,ET,1690159632
201,tartu,58.3806,26.7251,11.29,88,49,2.06,EE,1690159632
202,cidreira,-30.1811,-50.2056,16.24,93,18,2.28,BR,1690159632
203,selfoss,63.9331,-20.9971,12.25,76,100,2.01,IS,1690159633
204,cockburn town,21.4612,-71.1419,28.98,70,40,4.12,TC,1690159633
205,carnarvon,-24.8667,113.6333,16.64,31,0,7.75,AU,1690159437
206,cuyo,10.8525,121.0086,27.89,80,100,8.75,PH,1690159633
207,saipan,15.1355,145.701,29.39,100,100,4.12,MP,1690159633
208,ribeira grande,38.5167,-28.7,22.1,85,7,2.68,PT,1690159634
209,albany,42.6001,-73.9662,22.9,76,54,1.4,US,1690159464
210,anadyr,64.75,177.4833,14.28,93,100,2.0,RU,1690159634
211,tocopilla,-22.092,-70.1979,16.92,80,12,1.53,CL,1690159634
212,la ronge,55.1001,-105.2842,24.12,38,75,3.6,CA,1690159634
213,kendari,-3.945,122.4989,26.92,69,100,0.67,ID,1690159635
214,shimoda,34.6667,138.95,31.72,69,1,2.19,JP,1690159635
215,rockingham,42.9668,-71.0995,24.38,76,0,1.43,US,1690159635
216,teknaf,20.8624,92.3058,27.48,86,100,3.34,BD,1690159635
217,igarka,67.4667,86.5833,18.7,77,98,1.67,RU,1690159635
218,labuan,5.2767,115.2417,28.2,83,20,1.03,MY,1690159636
219,sos'va,59.1766,61.8558,14.55,90,100,2.02,RU,1690159636
220,polyarnyy,69.1989,33.4478,9.28,96,100,7.04,RU,1690159636
221,neyshabur,36.2133,58.7958,23.95,23,0,1.8,IR,1690159636
222,horta,38.5333,-28.6333,21.68,85,15,2.68,PT,1690159617
223,colonia menno,-22.3667,-59.8167,28.4,29,100,2.91,PY,1690159637
